city,date,aqi_category,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,aqi_lag_1,pm25_lag_1,aqi_lag_2,pm25_lag_2,aqi_lag_3,pm25_lag_3,pm25_roll_mean_3,aqi_roll_mean_3,pm25_roll_mean_7,aqi_roll_mean_7
Lahore,2024-08-30,4,1458.3658333333333,15.508333333333333,35.56541666666667,31.682083333333335,11.80625,69.42458333333333,82.37666666666667,9.6075,27.281083041666665,84.83471804166668,24.385249666666667,0.05416666666666667,981.1301808333333,7.404685945833333,214.67846964166665,197.29166666666666,4.0,62.47208333333333,5.0,107.72333333333334,5.0,96.07625,88.75722222222221,4.666666666666667,92.0265476190476,4.857142857142857
Lahore,2024-08-31,5,1152.1183333333333,1.3150000000000002,30.517083333333332,79.26,11.011666666666665,67.85833333333333,75.74708333333334,6.109166666666667,28.77274991666667,80.737858625,24.922749749999998,0.0,979.7400941666666,6.789203570833333,278.95443041666664,245.625,4.0,69.42458333333333,4.0,62.47208333333333,5.0,107.72333333333334,79.87333333333333,4.333333333333333,84.06380952380952,4.714285714285714
Lahore,2024-09-01,5,2542.0591666666664,24.864583333333332,54.70458333333334,75.07666666666667,16.20875,96.52041666666666,119.05333333333333,20.790833333333335,29.747750291666666,77.83182975,25.226916541666668,0.004166666666666667,979.16057125,4.610195341666667,221.14037,238.29166666666666,5.0,67.85833333333333,4.0,69.42458333333333,4.0,62.47208333333333,66.585,4.333333333333333,80.97482142857143,4.714285714285714
Lahore,2024-09-02,5,1534.5816666666667,2.5591666666666666,34.3625,58.59458333333333,11.6825,92.36541666666666,105.07083333333333,16.017500000000002,27.958166375,85.83716695833334,25.247749833333334,0.37083333333333335,979.9628670833334,8.446944808333333,119.886974625,183.95833333333334,5.0,96.52041666666666,5.0,67.85833333333333,4.0,69.42458333333333,77.93444444444445,4.666666666666667,83.33136904761905,4.714285714285714
Lahore,2024-09-03,5,1727.3429166666667,13.797083333333333,33.67333333333333,18.25125,12.170833333333334,76.51041666666667,88.1975,11.233333333333333,26.508166375000002,90.355112125,24.71024991666667,0.5375,981.1362595833334,5.365753008333333,91.6696245,161.29166666666666,5.0,92.36541666666666,5.0,96.52041666666666,5.0,67.85833333333333,85.5813888888889,5.0,84.63434523809522,4.714285714285714
Lahore,2024-09-04,5,2301.45375,13.990416666666667,51.89416666666667,67.19916666666667,19.215416666666666,110.70958333333334,124.55375,10.159583333333332,27.44566641666667,85.18168270833333,24.55399979166667,0.12083333333333335,977.76303875,4.345523369583334,242.32670391666667,224.33333333333334,5.0,76.51041666666667,5.0,92.36541666666666,5.0,96.52041666666666,88.46541666666667,5.0,81.8392261904762,4.714285714285714
Lahore,2024-09-05,5,2461.3937499999997,15.09375,70.88875,72.67708333333333,25.371666666666666,137.23916666666668,156.805,22.602500000000003,27.274833125,83.06335316666666,24.018583083333336,0.06666666666666667,976.30682875,5.363819666666667,132.5097059375,218.0,5.0,110.70958333333334,5.0,76.51041666666667,5.0,92.36541666666666,93.19513888888889,5.0,82.26583333333333,4.714285714285714
Lahore,2024-09-06,5,1312.8916666666667,0.8533333333333334,28.9825,63.92583333333334,11.085416666666667,82.91166666666668,92.83916666666666,11.029583333333333,27.760249875,84.10832591666666,24.745666416666666,0.06666666666666667,978.54894875,8.138048179166667,103.70024216666667,222.25,5.0,137.23916666666668,5.0,110.70958333333334,5.0,76.51041666666667,108.15305555555557,5.0,92.94684523809524,4.857142857142857
Lahore,2024-09-07,5,1731.2375,10.935,29.621666666666666,67.72583333333334,10.972500000000002,103.27625,119.08625,16.71375,27.124833125,83.26819579166667,23.824833166666668,0.37916666666666665,979.7474874999999,6.711954745833334,81.55107372083333,217.75,5.0,82.91166666666668,5.0,137.23916666666668,5.0,110.70958333333334,110.28680555555557,5.0,94.87357142857142,5.0
Lahore,2024-09-08,5,2595.18625,18.350416666666668,60.1775,73.78958333333334,18.452083333333334,138.15958333333333,162.11166666666665,29.694999999999997,28.44983325,79.47549391666666,24.31024975,0.0,978.7953920833334,5.365930254166667,222.03281760000002,229.41666666666666,5.0,103.27625,5.0,82.91166666666668,5.0,137.23916666666668,107.80902777777779,5.0,99.93327380952381,5.0
